"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "HTML", "JavaScript JSX", "CSS", "SCSS", "Properties", "comment", "blank", "total"
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_chartist.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 16, 12, 86
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_inputs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 6, 34, 244
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_page-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_popovers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 8, 30
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_social-buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 7, 39
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_tags.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_transparency.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 9
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_vendor-prefixes-extend.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 28, 239
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_vendor-prefixes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 25, 229
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\mixins\_wizard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 7, 42
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-animate-bootstrap-notify.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 7, 68, 228
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-bootstrap-select.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 356, 0, 16, 63, 435
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 8, 41, 275
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-bootstrap-table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 11, 59, 331
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-card-wizard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 44, 274
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-datatables.net.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 15, 53, 518
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-datetimepicker.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 371, 0, 5, 8, 384
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-fullcalendar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 751, 0, 134, 239, 1124
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-jasny-fileupload.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-jquery.jvectormap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 23, 136
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-nouislider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 61, 28, 338
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-perfect-scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 9, 1, 114
